owner,name,priority_score,stars,forks,dependencies_count,has_package_swift,swift_tools_version,rationale,github_url,package_index_url
ReactiveX,RxSwift,0.997,24624,4189,0,True,5.5,High popularity; Active community; Low complexity; Modern Swift package,https://github.com/ReactiveX/RxSwift,https://swiftpackageindex.com/ReactiveX/RxSwift
realm,SwiftLint,0.802,19096,2262,7,True,5.9,High popularity; Active community; Modern Swift package,https://github.com/realm/SwiftLint,https://swiftpackageindex.com/realm/SwiftLint
mozilla-mobile,firefox-ios,0.66,12623,3061,2,True,5.7,High popularity; Active community; Low complexity; Modern Swift package,https://github.com/mozilla-mobile/firefox-ios,https://swiftpackageindex.com/mozilla-mobile/firefox-ios
mac-cain13,R.swift,0.547,9583,780,2,True,5.6,High popularity; Active community; Low complexity; Modern Swift package,https://github.com/mac-cain13/R.swift,https://swiftpackageindex.com/mac-cain13/R.swift
nicklockwood,SwiftFormat,0.532,8462,656,0,True,5.7,High popularity; Active community; Low complexity; Modern Swift package,https://github.com/nicklockwood/SwiftFormat,https://swiftpackageindex.com/nicklockwood/SwiftFormat
tristanhimmelman,ObjectMapper,0.524,9179,1035,0,True,5.5,High popularity; Active community; Low complexity; Modern Swift package,https://github.com/tristanhimmelman/ObjectMapper,https://swiftpackageindex.com/tristanhimmelman/ObjectMapper
groue,GRDB.swift,0.508,7653,768,1,True,6.0,High popularity; Active community; Low complexity; Modern Swift package,https://github.com/groue/GRDB.swift,https://swiftpackageindex.com/groue/GRDB.swift
yonaskolb,XcodeGen,0.472,7583,846,9,True,5.9,High popularity; Active community; Modern Swift package,https://github.com/yonaskolb/XcodeGen,https://swiftpackageindex.com/yonaskolb/XcodeGen
krzysztofzablocki,sourcery,0.471,7900,629,10,True,5.8,High popularity; Active community; Modern Swift package,https://github.com/krzysztofzablocki/sourcery,https://swiftpackageindex.com/krzysztofzablocki/sourcery
SwiftyBeaver,SwiftyBeaver,0.449,6030,482,0,True,5.0,High popularity; Active community; Low complexity; Modern Swift package,https://github.com/SwiftyBeaver/SwiftyBeaver,https://swiftpackageindex.com/SwiftyBeaver/SwiftyBeaver
peripheryapp,periphery,0.421,5783,206,8,True,6.0,High popularity; Active community; Modern Swift package,https://github.com/peripheryapp/periphery,https://swiftpackageindex.com/peripheryapp/periphery
Kitura,Kitura,0.408,7637,496,7,True,5.2,High popularity; Active community; Modern Swift package,https://github.com/Kitura/Kitura,https://swiftpackageindex.com/Kitura/Kitura
devxoul,Then,0.384,4343,297,0,True,5.0,High popularity; Active community; Low complexity; Modern Swift package,https://github.com/devxoul/Then,https://swiftpackageindex.com/devxoul/Then
JohnSundell,Publish,0.379,4945,354,7,True,5.5,High popularity; Active community; Modern Swift package,https://github.com/JohnSundell/Publish,https://swiftpackageindex.com/JohnSundell/Publish
httpswift,swifter,0.378,3977,556,0,True,5.0,High popularity; Active community; Low complexity; Modern Swift package,https://github.com/httpswift/swifter,https://swiftpackageindex.com/httpswift/swifter
